Periodo,Población,Aborto,Abuso de confianza,Abuso sexual,Acoso sexual,Allanamiento de morada,Amenazas,Contra el medio ambiente,Corrupción de menores,Daño a la propiedad,Cometidos por servidores públicos,Despojo,Electorales,Evasión de presos,Extorsión,Falsedad,Falsificación,Feminicidio,Fraude,Homicidio,Hostigamiento sexual,Incesto,Incumplimiento de oblig. de asistencia fam.,Lesiones,Narcomenudeo,Otros delitos,Rapto,Robo,Secuestro,Tráfico de menores,Trata de personas,Violación equiparada,Violación simple,Violencia de género ,Violencia familiar
01/01/2015," 5,058,995 ", 0.4 , 3.8 , 3.2 , -   , 1.7 , 17.3 , -   , 0.5 , 38.0 , 4.2 , 3.8 ,0, 0.1 , 2.4 , 0.9 , 1.7 , -   , 12.0 , 4.2 , 0.1 , -   , 2.4 , 36.4 , 11.9 , 36.2 , 0.7 , 73.5 , 0.1 , -   , -   , 1.3 , 3.1 , -   , 67.9 
01/02/2015," 5,076,927 ", 0.4 , 4.3 , 4.9 , -   , 1.7 , 19.3 , -   , 1.1 , 37.7 , 5.4 , 3.6 ,1.004544678, 0.0 , 2.4 , 0.6 , 2.1 , 0.0 , 13.0 , 4.8 , 0.2 , 0.0 , 2.9 , 42.8 , 10.5 , 41.9 , 0.7 , 63.1 , 0.1 , -   , -   , 1.5 , 3.0 , -   , 91.3 
01/03/2015," 5,095,007 ", 0.2 , 3.7 , 5.5 , -   , 1.8 , 18.6 , -   , 1.0 , 39.4 , 6.0 , 3.9 ,0.039254117, 0.1 , 2.2 , 0.4 , 3.3 , -   , 11.5 , 5.2 , -   , -   , 2.9 , 42.0 , 6.7 , 43.9 , 0.9 , 73.2 , 0.1 , 0.0 , -   , 1.1 , 3.2 , -   , 97.9 
01/04/2015," 5,113,006 ", 0.1 , 4.3 , 4.2 , -   , 2.0 , 18.4 , -   , 1.0 , 44.2 , 6.0 , 4.0 ,0, 0.0 , 3.0 , 1.0 , 2.9 , -   , 12.7 , 5.2 , 0.2 , -   , 3.0 , 41.2 , 7.2 , 40.3 , 0.7 , 75.9 , 0.1 , 0.0 , -   , 0.7 , 2.8 , -   , 78.3 
01/01/2016," 5,130,958 ", 0.2 , 3.3 , 4.3 , -   , 1.4 , 16.6 , -   , 0.9 , 39.3 , 1.7 , 3.7 ,0, 0.1 , 3.1 , 0.7 , 2.2 , -   , 12.5 , 6.0 , 0.1 , -   , 2.2 , 34.0 , 7.3 , 36.8 , 0.5 , 80.5 , 0.1 , 0.0 , -   , 0.9 , 2.9 , -   , 74.1 
01/02/2016," 5,148,878 ", 0.3 , 4.4 , 5.4 , -   , 1.6 , 23.4 , -   , 1.2 , 46.6 , 4.9 , 4.2 ,0, 0.1 , 2.6 , 0.9 , 3.2 , 0.0 , 13.7 , 5.3 , 0.2 , -   , 2.6 , 42.3 , 8.0 , 47.0 , 0.9 , 101.1 , 0.1 , -   , 0.1 , 1.5 , 3.5 , -   , 97.7 
01/03/2016," 5,166,937 ", 0.1 , 5.1 , 4.6 , -   , 2.0 , 23.9 , -   , 0.8 , 45.1 , 8.1 , 4.1 ,0, 0.1 , 2.9 , 0.7 , 2.6 , -   , 55.5 , 6.2 , 0.1 , -   , 3.1 , 45.7 , 8.3 , 49.4 , 0.9 , 104.7 , 0.2 , -   , 0.0 , 1.2 , 3.6 , -   , 98.5 
01/04/2016," 5,184,932 ", 0.3 , 6.7 , 4.1 , -   , 1.8 , 24.9 , -   , 0.8 , 48.5 , 10.0 , 4.4 ,0, 0.0 , 3.5 , 0.8 , 3.3 , 0.0 , 32.6 , 5.2 , 0.1 , 0.0 , 3.3 , 42.9 , 7.6 , 44.6 , 0.7 , 82.1 , 0.2 , -   , 0.0 , 1.0 , 3.1 , -   , 74.3 
01/01/2017," 5,202,814 ", 0.1 , 6.3 , 4.0 , -   , 2.3 , 23.8 , -   , 0.7 , 48.5 , 10.3 , 3.4 ,0, 0.1 , 3.3 , 1.0 , 3.2 , 0.0 , 13.3 , 5.5 , 0.1 , -   , 2.7 , 40.6 , 13.0 , 45.5 , 0.5 , 86.6 , 0.2 , -   , 0.1 , 1.0 , 2.9 , -   , 74.9 
01/02/2017," 5,220,546 ", 0.2 , 5.9 , 5.7 , 0.1 , 2.3 , 26.8 , -   , 0.8 , 42.7 , 11.3 , 3.7 ,0, 0.1 , 3.9 , 0.9 , 2.8 , 0.2 , 13.3 , 6.0 , 0.2 , 0.0 , 3.0 , 43.8 , 11.0 , 48.9 , 0.6 , 78.5 , 0.2 , -   , -   , 1.2 , 3.4 , -   , 93.1 
